"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.0651441197056606,-0.0131743105642314,0.044023704238678,-0.0281861669654606
"upper_60_clay_ave",-0.0651441197056606,1,0.326297473984074,-0.760551347237668,0.0493052176866697
"upper_60_silt_ave",-0.0131743105642314,0.326297473984074,1,-0.861894666529176,0.108110823197399
"upper_60_sand_ave",0.044023704238678,-0.760551347237668,-0.861894666529176,1,-0.102636833659174
"upper_60_soc_ave",-0.0281861669654606,0.0493052176866697,0.108110823197399,-0.102636833659174,1
