"","yield","upper_60_clay_ave","upper_60_silt_ave","upper_60_sand_ave","upper_60_soc_ave"
"yield",1,-0.292578393841674,-0.237305090303533,0.284002205087265,-0.113384636238718
"upper_60_clay_ave",-0.292578393841674,1,0.788425037106914,-0.960448716722306,0.352627383740678
"upper_60_silt_ave",-0.237305090303533,0.788425037106914,1,-0.928520790507649,0.0740146291741517
"upper_60_sand_ave",0.284002205087265,-0.960448716722306,-0.928520790507649,1,-0.246495859171416
"upper_60_soc_ave",-0.113384636238718,0.352627383740678,0.0740146291741517,-0.246495859171416,1
