Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
21	7	1981	      23.6      34.4		18.8	5.1
22	7	1981	      23.9      33.1		0	4.6
23	7	1981	      23.6      30.3		0	3.7
24	7	1981	      22.8      31.6		0	4.3
25	7	1981	      23.9      30.8		0	3.8
26	7	1981	      23.2      30.4		0	3.8
27	7	1981	      23.5      29.7		0	3.5
28	7	1981	      24.1      31.0		0	3.8
29	7	1981	      23.7      29.9		0	3.5
30	7	1981	      23.4      30.7		14.7	3.9
31	7	1981	      24.0      29.0		14.7	3.1
1	8	1981	      23.4      29.7		48.7	3.6
2	8	1981	      22.9      27.9		23.1	3
3	8	1981	      23.1      30.5		24.8	3.9
4	8	1981	      23.3      32.0		0	4.3
5	8	1981	      23.1      31.4		0	4.2
6	8	1981	      23.0      29.6		16.8	3.6
7	8	1981	      23.2      29.6		7.2	3.6
8	8	1981	      22.9      31.3		0	4.2
9	8	1981	      23.3      31.8		0	4.2
10	8	1981	      23.3      30.9		0	3.9
11	8	1981	      22.8      31.2		32.6	4.2
12	8	1981	      23.4      32.7		0	4.5
13	8	1981	      23.7      33.0		0	4.6
14	8	1981	      24.1      31.4		0	3.9
15	8	1981	      23.3      29.6		0	3.5
16	8	1981	      22.5      31.2		0	4.2
17	8	1981	      23.0      32.6		0	4.6
18	8	1981	      23.7      30.5		0	3.7
19	8	1981	      23.4      30.1		5.4	3.7
20	8	1981	      22.4      30.3		0	4
21	8	1981	      23.3      31.4		13.1	4.1
22	8	1981	      22.8      27.3		0	2.8
23	8	1981	      22.5      30.6		0	4
24	8	1981	      22.7      32.0		0	4.4
25	8	1981	      24.0      34.0		0	4.8
26	8	1981	      24.2      29.6		0	3.2
27	8	1981	      23.1      29.2		20.2	3.4
28	8	1981	      22.8      30.4		40.3	3.9
29	8	1981	      23.5      30.5		20.2	3.7
30	8	1981	      23.1      30.1		0	3.7
31	8	1981	      22.6      30.6		23	3.9
1	9	1981	      23.3      28.7		1.2	3.1
2	9	1981	      23.3      30.4		0	3.7
3	9	1981	      23.4      31.5		0	4
4	9	1981	      23.9      31.1		0	3.8
5	9	1981	      23.6      31.3		0	3.9
6	9	1981	      23.1      30.7		9.9	3.9
7	9	1981	      23.3      28.3		0	3
8	9	1981	      22.7      30.3		0	3.8
9	9	1981	      22.3      31.4		0	4.2
10	9	1981	      23.5      28.4		9.9	2.9
11	9	1981	      22.9      30.0		0	3.6
12	9	1981	      22.9      26.0		49	2.2
13	9	1981	      20.9      29.6		0	3.9
14	9	1981	      22.4      31.8		14	4.3
15	9	1981	      23.0      31.4		0	4
16	9	1981	      23.1      31.3		3.9	4
17	9	1981	      24.1      28.7		3.9	2.8
18	9	1981	      23.4      31.0		3.9	3.8
19	9	1981	      23.2      31.4		3.9	4
20	9	1981	      22.5      30.5		3.9	3.8
21	9	1981	      21.6      32.1		0	4.5
22	9	1981	      22.6      31.2		0	4
23	9	1981	      20.8      30.6		0	4.2
24	9	1981	      22.9      28.1		0	2.9
25	9	1981	      22.4      32.5		6.6	4.4
26	9	1981	      22.9      32.4		0	4.2
27	9	1981	      23.5      30.8		6	3.6
28	9	1981	      23.7      31.1		0	3.7
29	9	1981	      21.2      32.9		0	4.7
30	9	1981	      21.3      33.6		0	4.9
1	10	1981	      21.1      33.5		0	4.8
2	10	1981	      23.1      32.9		0	4.3
3	10	1981	      23.9      34.5		0	4.6
4	10	1981	      24.1      30.7		0	3.4
5	10	1981	      22.9      30.1		0	3.5
6	10	1981	      22.4      33.7		0	4.6
7	10	1981	      22.7      34.9		0	4.9
8	10	1981	      22.6      34.6		0	4.8
9	10	1981	      24.2      31.6		0	3.6
10	10	1981	      22.8      33.8		0	4.5
11	10	1981	      23.2      32.7		0	4.1
12	10	1981	      23.1      32.9		0	4.2
13	10	1981	      22.5      33.9		0	4.6
14	10	1981	      23.0      28.9		0	3
15	10	1981	      22.8      32.5		11	4.1
16	10	1981	      22.3      32.2		7.1	4.1
17	10	1981	      21.8      33.6		0	4.6
18	10	1981	      22.4      33.9		0	4.5
19	10	1981	      23.2      33.3		0	4.2
20	10	1981	      23.2      30.2		0	3.3
21	10	1981	      23.0      31.2		0	3.6
22	10	1981	      22.1      30.9		0	3.7
23	10	1981	      21.2      33.4		0	4.5
24	10	1981	      22.7      33.6		0.8	4.3
25	10	1981	      21.8      35.4		0	4.9
26	10	1981	      20.7      35.3		0	5
27	10	1981	      22.1      35.6		0	4.9
28	10	1981	      22.6      31.3		0	3.6
29	10	1981	      22.2      36.0		0	5
30	10	1981	      20.9      36.3		0	5.2
31	10	1981	      20.4      35.5		0	5
1	11	1981	      21.0      36.1		0	5.1
2	11	1981	      20.1      36.5		0	5.3
3	11	1981	      20.3      36.9		0	5.4
4	11	1981	      24.0      36.0		0	4.6
5	11	1981	      23.1      36.5		0	4.9
6	11	1981	      23.5      33.1		0	3.8
7	11	1981	      22.9      35.5		0	4.6
8	11	1981	      23.1      35.8		0	4.6
9	11	1981	      22.7      31.9		0	3.6
10	11	1981	      22.4      31.5		0	3.6
11	11	1981	      21.6      32.3		0	3.9
12	11	1981	      19.6      34.0		0	4.6
13	11	1981	      19.4      33.0		0	4.4
14	11	1981	      18.0      36.3		0	5.4
15	11	1981	      21.6      35.8		0	4.8
16	11	1981	      22.0      35.7		0	4.7
17	11	1981	      22.0      36.5		0	4.8
18	11	1981	      21.4      36.4		0	4.9
19	11	1981	      20.9      36.9		0	5.1
20	11	1981	      20.2      35.3		0	4.8
21	11	1981	      21.6      34.5		0	4.4
22	11	1981	      20.3      34.2		0	4.5
23	11	1981	      19.1      34.3		0	4.6
24	11	1981	      18.5      34.0		0	4.6
25	11	1981	      19.7      32.1		0	4
26	11	1981	      18.6      33.3		0	4.4
27	11	1981	      17.0      32.8		0	4.5
28	11	1981	      15.6      34.1		0	4.9
29	11	1981	      16.0      34.2		0	4.9
30	11	1981	      14.9      33.9		0	4.9
1	12	1981	      15.5      28.5		0.1	3.7
2	12	1981	      16.9      34.4		0.1	4.8
3	12	1981	      19.1      35.5		0.1	4.8
4	12	1981	      19.9      35.6		0.1	4.7
5	12	1981	      17.7      33.8		0.1	4.6
6	12	1981	      17.4      34.4		0	4.7
7	12	1981	      15.8      33.5		0	4.7
8	12	1981	      14.2      32.3		0	4.6
9	12	1981	      17.9      30.9		0	3.9
10	12	1981	      19.7      27.4		0	2.8
11	12	1981	      19.1      28.8		0	3.2
12	12	1981	      17.3      28.6		0	3.4
13	12	1981	      16.1      31.9		0	4.3
14	12	1981	      15.5      33.5		0	4.7
15	12	1981	      14.2      33.7		0	4.9
16	12	1981	      16.0      32.0		0	4.3
17	12	1981	      17.0      34.9		0	4.9
18	12	1981	      15.2      34.7		0	5
19	12	1981	      16.1      29.9		0	3.9
20	12	1981	      16.5      28.1		0	3.4
21	12	1981	      16.8      33.8		0	4.6
22	12	1981	      15.3      33.1		0.1	4.6
23	12	1981	      16.3      33.8		0.5	4.7
24	12	1981	      15.6      33.9		0.1	4.8
25	12	1981	      15.5      34.3		0	4.9
26	12	1981	      14.8      33.8		0	4.8
27	12	1981	      16.6      35.5		0	5.1
28	12	1981	      15.6      34.3		0	4.9
29	12	1981	      16.7      35.3		0	5
30	12	1981	      16.4      35.8		0	5.1
31	12	1981	      16.7      35.9		0	5.1
1	1	1982	      17.8      37.4		0.1	5.4
2	1	1982	      16.1      36.8		0.1	5.4
3	1	1982	      15.7      35.5		0.1	5.2
4	1	1982	      15.1      34.3		0.1	5
5	1	1982	      14.6      34.6		0.1	5.1
6	1	1982	      16.1      34.6		0	4.9
7	1	1982	      14.4      33.7		0	4.9
8	1	1982	      14.3      33.5		0	4.9
9	1	1982	      14.2      34.1		0	5.1
10	1	1982	      14.5      33.6		0	4.9
11	1	1982	      16.2      32.9		0	4.6
12	1	1982	      12.4      33.0		0	5
13	1	1982	      15.1      29.6		0	4
14	1	1982	      16.5      27.6		0	3.4
15	1	1982	      13.7      33.3		0	5
16	1	1982	      15.1      33.1		0	4.8
17	1	1982	      16.6      33.4		0	4.7
18	1	1982	      18.4      32.0		0	4.2
19	1	1982	      14.8      32.5		0	4.7
20	1	1982	      19.2      31.9		0	4.1
21	1	1982	      16.7      30.8		0	4.1
22	1	1982	      13.9      30.8		0	4.5
23	1	1982	      13.9      30.1		0	4.3
24	1	1982	      14.1      28.8		0	4
25	1	1982	      12.2      32.0		0	5
26	1	1982	      16.5      33.6		0.2	4.9
27	1	1982	      15.0      35.0		0	5.4
28	1	1982	      15.2      35.2		0	5.4
29	1	1982	      15.9      35.1		0	5.4
30	1	1982	      13.9      34.7		0	5.5
31	1	1982	      14.0      36.3		0	5.9
1	2	1982	      15.8      36.1		0	5.7
2	2	1982	      16.2      35.7		0	5.5
3	2	1982	      15.6      34.6		0	5.4
4	2	1982	      16.0      36.0		0	5.7
5	2	1982	      16.5      36.4		0	5.7
6	2	1982	      18.4      33.0		0	4.7
7	2	1982	      17.1      32.5		0	4.7
8	2	1982	      17.6      32.1		0	4.6
9	2	1982	      17.9      28.6		0	3.7
10	2	1982	      15.8      28.8		0	4
11	2	1982	      16.4      31.7		0	4.7
12	2	1982	      17.3      34.1		0	5.2
13	2	1982	      18.1      34.6		0	5.2
14	2	1982	      17.2      34.0		0	5.2
15	2	1982	      15.8      35.5		0	5.7
16	2	1982	      16.8      35.6		0	5.7
17	2	1982	      16.5      36.0		0	5.8
18	2	1982	      18.7      36.7		0	5.8
19	2	1982	      19.3      35.7		0	5.4
20	2	1982	      18.1      34.0		0	5.2
21	2	1982	      16.7      35.1		0	5.6
22	2	1982	      16.9      35.2		0	5.7
23	2	1982	      16.0      35.6		0	5.9
24	2	1982	      17.8      35.4		0	5.6
25	2	1982	      19.6      35.1		0	5.3
26	2	1982	      20.8      36.0		0	5.4
27	2	1982	      17.7      37.3		0	6.2
28	2	1982	      17.7      37.4		0	6.2
1	3	1982	      18.3      38.0		0	6.4
2	3	1982	      21.2      37.8		0	5.9
3	3	1982	      18.8      37.0		0	6.1
4	3	1982	      20.3      36.3		0	5.7
5	3	1982	      17.9      38.2		0	6.5
6	3	1982	      18.9      38.6		0	6.5
7	3	1982	      18.2      37.9		0	6.4
8	3	1982	      20.1      39.2		0	6.6
9	3	1982	      18.1      38.4		0	6.6
10	3	1982	      17.2      31.8		0	5
11	3	1982	      14.2      32.4		0	5.6
12	3	1982	      15.2      34.6		0	6
13	3	1982	      18.1      36.8		0	6.3
14	3	1982	      19.7      38.2		0	6.5
15	3	1982	      20.6      39.5		0	6.7
16	3	1982	      20.8      39.2		0	6.6
17	3	1982	      20.3      38.0		0	6.4
18	3	1982	      18.6      36.8		0	6.3
19	3	1982	      19.3      37.6		0	6.4
20	3	1982	      20.0      39.4		0	6.8
21	3	1982	      20.7      40.0		0	6.9
22	3	1982	      21.5      39.8		0	6.8
23	3	1982	      21.1      39.8		0	6.8
24	3	1982	      20.0      38.9		0	6.8
25	3	1982	      21.0      38.9		0	6.6
26	3	1982	      22.4      39.4		0	6.6
27	3	1982	      23.4      39.1		0	6.4
28	3	1982	      21.3      37.8		0	6.3
29	3	1982	      20.1      35.8		0	5.9
30	3	1982	      21.2      34.7		0	5.4
31	3	1982	      20.6      37.1		0	6.2
1	4	1982	      21.8      40.4		0	7
2	4	1982	      23.7      42.3		0	7.3
3	4	1982	      21.9      42.0		0	7.5
4	4	1982	      20.7      41.9		0	7.6
5	4	1982	      23.1      42.8		0	7.6
6	4	1982	      24.2      41.1		0	7
7	4	1982	      21.4      41.6		0	7.5
8	4	1982	      21.5      41.4		0	7.5
9	4	1982	      24.1      39.5		0	6.5
10	4	1982	      22.1      40.5		0	7.1
11	4	1982	      21.1      37.6		0	6.4
12	4	1982	      19.2      36.6		0	6.4
13	4	1982	      18.8      36.3		0	6.4
14	4	1982	      19.6      34.7		0	5.8
15	4	1982	      20.9      36.4		0	6.1
16	4	1982	      21.0      37.3		0	6.3
17	4	1982	      21.9      38.6		0	6.6
18	4	1982	      22.3      38.1		0	6.4
19	4	1982	      22.1      38.1		0	6.5
20	4	1982	      22.1      37.4		0	6.3
21	4	1982	      22.3      37.1		0	6.1
22	4	1982	      21.9      37.2		0	6.2
23	4	1982	      22.3      38.9		0	6.7
24	4	1982	      23.4      39.0		0	6.6
25	4	1982	      24.7      39.0		0	6.3
26	4	1982	      22.3      38.3		0	6.5
27	4	1982	      22.6      38.5		0	6.5
28	4	1982	      22.6      40.5		0	7.1
29	4	1982	      22.7      41.8		0	7.5
30	4	1982	      23.1      40.4		0	7
1	5	1982	      20.8      40.1		0	7.3
2	5	1982	      22.0      40.5		0	7.2
3	5	1982	      21.1      39.9		0	7.2
4	5	1982	      21.1      40.6		0	7.4
5	5	1982	      21.0      39.8		0	7.2
6	5	1982	      21.6      39.5		0	7
7	5	1982	      22.2      37.1		0	6.2
8	5	1982	      20.1      38.5		0	6.9
9	5	1982	      20.9      37.8		0	6.6
10	5	1982	      20.8      39.3		0	7.1
11	5	1982	      23.7      40.6		0	7
12	5	1982	      23.7      39.4		0	6.7
13	5	1982	      25.6      36.3		0	5.3
14	5	1982	      25.5      40.1		0	6.5
15	5	1982	      24.9      41.8		0	7.2
16	5	1982	      24.1      35.4		0	5.3
17	5	1982	      22.7      39.4		0	6.8
18	5	1982	      22.1      41.3		0	7.5
19	5	1982	      21.9      41.4		0	7.5
20	5	1982	      22.1      39.1		0	6.8
21	5	1982	      22.6      39.9		0	7
22	5	1982	      22.7      41.9		0	7.6
23	5	1982	      23.6      42.1		0	7.5
24	5	1982	      22.8      40.4		0	7.1
25	5	1982	      21.6      40.2		0	7.2
26	5	1982	      21.9      40.2		0	7.2
27	5	1982	      22.2      40.4		0	7.2
28	5	1982	      23.1      39.5		0	6.8
29	5	1982	      22.2      38.3		0	6.6
30	5	1982	      22.5      38.5		0	6.6
31	5	1982	      22.6      38.8		0	6.6
1	6	1982	      24.9      38.8		0	6.3
2	6	1982	      23.2      40.3		0	7
3	6	1982	      23.7      38.1		0	6.3
4	6	1982	      23.2      41.0		0	7.2
5	6	1982	      25.7      40.6		0	6.7
6	6	1982	      25.0      41.0		0	6.9
7	6	1982	      24.2      40.7		0	7
8	6	1982	      23.4      40.6		0	7.1
9	6	1982	      23.6      40.3		0	6.9
10	6	1982	      24.7      39.1		0	6.4
11	6	1982	      23.8      41.4		0	7.2
12	6	1982	      23.7      41.6		0	7.3
13	6	1982	      23.8      39.9		0	6.8
14	6	1982	      24.6      40.6		0	6.9
15	6	1982	      24.6      38.9		0	6.3
16	6	1982	      23.1      40.4		0	7.1
17	6	1982	      23.7      39.3		0	6.6
18	6	1982	      23.9      37.6		0	6
19	6	1982	      24.0      37.8		0	6.1
20	6	1982	      23.9      39.9		0	6.8
21	6	1982	      23.2      40.4		10.1	7
22	6	1982	      23.5      38.6		0	6.4
23	6	1982	      23.3      38.3		0	6.4
24	6	1982	      24.9      36.8		5.1	5.6
25	6	1982	      23.3      37.7		0	6.2
26	6	1982	      24.3      40.5		0	6.9
27	6	1982	      24.0      39.6		0	6.6
28	6	1982	      23.4      39.5		0	6.7
29	6	1982	      23.8      38.6		0	6.4
30	6	1982	      24.6      36.2		0	5.4
1	7	1982	      24.4      36.9		0	5.7
2	7	1982	      24.8      37.1		5.4	5.7
3	7	1982	      24.3      35.9		10.9	5.4
4	7	1982	      23.6      35.3		0	5.3
5	7	1982	      22.7      37.0		0	6.1
6	7	1982	      23.1      38.4		0	6.4
7	7	1982	      24.1      38.3		0	6.2
8	7	1982	      25.8      37.8		0	5.7
9	7	1982	      24.6      36.0		0	5.4
10	7	1982	      24.7      31.4		0	3.8
11	7	1982	      24.5      35.5		18.6	5.2
12	7	1982	      24.8      37.1		27.9	5.7
13	7	1982	      25.2      35.6		0	5.1
14	7	1982	      25.2      35.8		0	5.2
15	7	1982	      24.7      34.1		21.2	4.7
16	7	1982	      24.1      33.4		20.2	4.7
17	7	1982	      24.1      35.0		0	5.2
18	7	1982	      23.4      34.5		0	5.1
19	7	1982	      23.1      33.9		0	5
20	7	1982	      23.9      32.2		30.2	4.3
21	7	1982	      24.6      34.8		0	5
22	7	1982	      24.7      32.6		0	4.2
23	7	1982	      24.0      32.4		0	4.3
24	7	1982	      22.9      31.5		0	4.3
25	7	1982	      22.8      33.1		0	4.8
26	7	1982	      23.9      30.5		0	3.7
27	7	1982	      23.8      31.3		0	4
28	7	1982	      24.2      30.1		20.4	3.5
29	7	1982	      23.2      31.8		10.2	4.3
30	7	1982	      23.5      31.2		10.2	4
31	7	1982	      23.3      29.6		0	3.5
1	8	1982	      22.6      32.5		0	4.7
2	8	1982	      23.3      30.1		0	3.7
3	8	1982	      23.3      32.1		0	4.4
4	8	1982	      22.6      34.0		0	5.1
5	8	1982	      21.9      33.2		0	5
6	8	1982	      22.5      30.7		0	4.1
7	8	1982	      21.7      32.1		14.5	4.7
8	8	1982	      22.2      30.5		0	4.1
9	8	1982	      21.9      33.3		0	5
10	8	1982	      23.0      32.4		29	4.5
11	8	1982	      22.9      31.4		8.1	4.2
12	8	1982	      23.6      31.4		24.1	4
13	8	1982	      23.5      31.7		0	4.2
14	8	1982	      23.2      31.9		8.1	4.3
15	8	1982	      23.9      31.6		0	4.1
16	8	1982	      23.2      30.6		0	3.9
17	8	1982	      23.1      31.6		0	4.2
18	8	1982	      23.7      33.0		4	4.5
19	8	1982	      24.1      33.7		0	4.7
20	8	1982	      23.8      32.0		0	4.2
21	8	1982	      23.2      32.0		18.9	4.3
22	8	1982	      24.1      30.0		18.9	3.4
23	8	1982	      23.1      32.8		28.4	4.6
24	8	1982	      23.7      32.2		9.5	4.2
25	8	1982	      24.1      32.6		0	4.3
26	8	1982	      24.1      33.3		5.1	4.5
27	8	1982	      24.0      28.1		33.9	2.7
28	8	1982	      23.3      29.0		20.4	3.3
29	8	1982	      23.3      31.1		0	4
30	8	1982	      23.0      32.4		0	4.5
31	8	1982	      23.2      30.4		0	3.8
1	9	1982	      23.3      30.6		10	3.8
2	9	1982	      23.5      31.9		0	4.2
3	9	1982	      21.7      32.4		0	4.7
4	9	1982	      23.0      31.2		0	4
5	9	1982	      23.5      31.2		8.8	3.9
6	9	1982	      22.8      33.0		6.7	4.6
7	9	1982	      23.8      31.4		0	3.9
8	9	1982	      23.4      31.3		15.3	3.9
9	9	1982	      23.1      33.3		0	4.6
10	9	1982	      22.9      32.5		13.4	4.4
11	9	1982	      22.7      30.3		11.2	3.8
12	9	1982	      23.1      31.2		0	4
13	9	1982	      23.5      32.3		6.4	4.2
14	9	1982	      23.0      31.0		0	3.9
15	9	1982	      22.9      32.4		0	4.4
16	9	1982	      23.3      31.8		0	4.1
17	9	1982	      23.6      31.9		13.7	4
18	9	1982	      22.6      33.0		0	4.6
19	9	1982	      23.6      30.2		0	3.5
20	9	1982	      23.2      31.2		0	3.9
21	9	1982	      23.2      31.9		0	4.1
22	9	1982	      23.8      32.2		0	4.1
23	9	1982	      23.1      33.7		0	4.6
24	9	1982	      23.3      33.2		0	4.4
